50_50_50_50,0.001,16,50,128,5,20
50_50_50_50,0.001,16,50,128,10,10
50_50_50_50,0.001,16,50,128,10,20
50_50_50_50,0.001,64,10,64,5,10
50_50_50_50,0.001,64,10,64,5,20
50_50_50_50,0.001,64,10,64,10,10
50_50_50_50,0.001,64,10,64,10,20
50_50_50_50,0.001,64,10,128,5,10
50_50_50_50,0.001,64,10,128,5,20
50_50_50_50,0.001,64,10,128,10,10
50_50_50_50,0.001,64,10,128,10,20
50_50_50_50,0.001,64,25,64,5,10
50_50_50_50,0.001,64,25,64,5,20
50_50_50_50,0.001,64,25,64,10,10
50_50_50_50,0.001,64,25,64,10,20
50_50_50_50,0.001,64,25,128,5,10
50_50_50_50,0.001,64,25,128,5,20
50_50_50_50,0.001,64,25,128,10,10
50_50_50_50,0.001,64,25,128,10,20
50_50_50_50,0.001,64,50,64,5,10
50_50_50_50,0.001,64,50,64,5,20
50_50_50_50,0.001,64,50,64,10,10
50_50_50_50,0.001,64,50,64,10,20
50_50_50_50,0.001,64,50,128,5,10
50_50_50_50,0.001,64,50,128,5,20
50_50_50_50,0.001,64,50,128,10,10
50_50_50_50,0.001,64,50,128,10,20
100_100_100_100,0.1,16,10,64,5,10
100_100_100_100,0.1,16,10,64,5,20
100_100_100_100,0.1,16,10,64,10,10
100_100_100_100,0.1,16,10,64,10,20
100_100_100_100,0.1,16,10,128,5,10
100_100_100_100,0.1,16,10,128,5,20
100_100_100_100,0.1,16,10,128,10,10
100_100_100_100,0.1,16,10,128,10,20
100_100_100_100,0.1,16,25,64,5,10
100_100_100_100,0.1,16,25,64,5,20
100_100_100_100,0.1,16,25,64,10,10
100_100_100_100,0.1,16,25,64,10,20
100_100_100_100,0.1,16,25,128,5,10
100_100_100_100,0.1,16,25,128,5,20
100_100_100_100,0.1,16,25,128,10,10
100_100_100_100,0.1,16,25,128,10,20
100_100_100_100,0.1,16,50,64,5,10
100_100_100_100,0.1,16,50,64,5,20
100_100_100_100,0.1,16,50,64,10,10
100_100_100_100,0.1,16,50,64,10,20
100_100_100_100,0.1,16,50,128,5,10
100_100_100_100,0.1,16,50,128,5,20
100_100_100_100,0.1,16,50,128,10,10
100_100_100_100,0.1,16,50,128,10,20
100_100_100_100,0.1,64,10,64,5,10
100_100_100_100,0.1,64,10,64,5,20
100_100_100_100,0.1,64,10,64,10,10
100_100_100_100,0.1,64,10,64,10,20
100_100_100_100,0.1,64,10,128,5,10
100_100_100_100,0.1,64,10,128,5,20
100_100_100_100,0.1,64,10,128,10,10
100_100_100_100,0.1,64,10,128,10,20
100_100_100_100,0.1,64,25,64,5,10
100_100_100_100,0.1,64,25,64,5,20
100_100_100_100,0.1,64,25,64,10,10
100_100_100_100,0.1,64,25,64,10,20
100_100_100_100,0.1,64,25,128,5,10
100_100_100_100,0.1,64,25,128,5,20
100_100_100_100,0.1,64,25,128,10,10
100_100_100_100,0.1,64,25,128,10,20
100_100_100_100,0.1,64,50,64,5,10
100_100_100_100,0.1,64,50,64,5,20
100_100_100_100,0.1,64,50,64,10,10
100_100_100_100,0.1,64,50,64,10,20
100_100_100_100,0.1,64,50,128,5,10
100_100_100_100,0.1,64,50,128,5,20
100_100_100_100,0.1,64,50,128,10,10
100_100_100_100,0.1,64,50,128,10,20
100_100_100_100,0.001,16,10,64,5,10
100_100_100_100,0.001,16,10,64,5,20
100_100_100_100,0.001,16,10,64,10,10
100_100_100_100,0.001,16,10,64,10,20
100_100_100_100,0.001,16,10,128,5,10
100_100_100_100,0.001,16,10,128,5,20
100_100_100_100,0.001,16,10,128,10,10
100_100_100_100,0.001,16,10,128,10,20
100_100_100_100,0.001,16,25,64,5,10
100_100_100_100,0.001,16,25,64,5,20
100_100_100_100,0.001,16,25,64,10,10
100_100_100_100,0.001,16,25,64,10,20
100_100_100_100,0.001,16,25,128,5,10
100_100_100_100,0.001,16,25,128,5,20
100_100_100_100,0.001,16,25,128,10,10
100_100_100_100,0.001,16,25,128,10,20
100_100_100_100,0.001,16,50,64,5,10
100_100_100_100,0.001,16,50,64,5,20
100_100_100_100,0.001,16,50,64,10,10
100_100_100_100,0.001,16,50,64,10,20
100_100_100_100,0.001,16,50,128,5,10
100_100_100_100,0.001,16,50,128,5,20
100_100_100_100,0.001,16,50,128,10,10
100_100_100_100,0.001,16,50,128,10,20
100_100_100_100,0.001,64,10,64,5,10
100_100_100_100,0.001,64,10,64,5,20
100_100_100_100,0.001,64,10,64,10,10
100_100_100_100,0.001,64,10,64,10,20
100_100_100_100,0.001,64,10,128,5,10
100_100_100_100,0.001,64,10,128,5,20
100_100_100_100,0.001,64,10,128,10,10
100_100_100_100,0.001,64,10,128,10,20
100_100_100_100,0.001,64,25,64,5,10
100_100_100_100,0.001,64,25,64,5,20
100_100_100_100,0.001,64,25,64,10,10
100_100_100_100,0.001,64,25,64,10,20
100_100_100_100,0.001,64,25,128,5,10
100_100_100_100,0.001,64,25,128,5,20
100_100_100_100,0.001,64,25,128,10,10
100_100_100_100,0.001,64,25,128,10,20
100_100_100_100,0.001,64,50,64,5,10
100_100_100_100,0.001,64,50,64,5,20
100_100_100_100,0.001,64,50,64,10,10
100_100_100_100,0.001,64,50,64,10,20
100_100_100_100,0.001,64,50,128,5,10
100_100_100_100,0.001,64,50,128,5,20
100_100_100_100,0.001,64,50,128,10,10
100_100_100_100,0.001,64,50,128,10,20
